Recurso ID,nombre,submercado,capacidad_efectiva,factor_conversion,es_menor,tipo_despacho,tipo_generacion,inicio_operacion,estado,nombre_agente,combustible,clasificacion
Grp0074,RIO INGENIO,RIN1,"0,18",0,SI,NO DESPACHADO CENTRALMENTE,HIDRAULICA,1958-01-01 00:00:00,INACTIVO,CENTRALES ELECTRICAS DE NARIÑO S.A. E.S.P.,AGUA,NORMAL
Grp0075,SAJANDI,SJN1,"3,2",0,SI,NO DESPACHADO CENTRALMENTE,HIDRAULICA,1995-01-01 00:00:00,OPERACION,VATIA S.A. E.S.P.,AGUA,NORMAL
Grp0076,SILVIA,SLV1,"0,38",0,SI,NO DESPACHADO CENTRALMENTE,HIDRAULICA,1994-01-01 00:00:00,OPERACION,VATIA S.A. E.S.P.,AGUA,NORMAL
Grp0077,IQUIRA I,IQU1,"4,32",0,SI,NO DESPACHADO CENTRALMENTE,HIDRAULICA,1955-01-01 00:00:00,OPERACION,ELECTRIFICADORA DEL HUILA S.A. E.S.P.,AGUA,NORMAL
Grp0078,IQUIRA II,IQU2,"5,4",0,SI,NO DESPACHADO CENTRALMENTE,HIDRAULICA,1965-01-01 00:00:00,OPERACION,ELECTRIFICADORA DEL HUILA S.A. E.S.P.,AGUA,NORMAL
Grp0079,LA PITA,PTA1,"1,42",0,SI,NO DESPACHADO CENTRALMENTE,HIDRAULICA,1965-01-01 00:00:00,OPERACION,ELECTRIFICADORA DEL HUILA S.A. E.S.P.,AGUA,NORMAL
Grp0080,JULIO BRAVO,JBV1,"1,5",0,SI,NO DESPACHADO CENTRALMENTE,HIDRAULICA,1942-01-01 00:00:00,OPERACION,CENTRALES ELECTRICAS DE NARIÑO S.A. E.S.P.,AGUA,NORMAL
Grp0081,RIO ABAJO,RBJ1,"0,9",0,SI,NO DESPACHADO CENTRALMENTE,HIDRAULICA,1947-01-01 00:00:00,INACTIVO,EMPRESAS PUBLICAS DE MEDELLIN E.S.P.,AGUA,NORMAL
Grp0082,RIO FRIO II,RFR2,10,0,SI,NO DESPACHADO CENTRALMENTE,HIDRAULICA,1996-01-01 00:00:00,OPERACION,COMPAÑIA DE ELECTRICIDAD DE TULUA S.A. E.S.P.,AGUA,FILO DE AGUA
Grp0083,RIO RECIO,RCIO,"0,984",0,SI,NO DESPACHADO CENTRALMENTE,HIDRAULICA,1958-01-11 00:00:00,OPERACION,VATIA S.A. E.S.P.,AGUA,NORMAL
Grp0084,CALICHAL,CHL1,"0,2",0,SI,NO DESPACHADO CENTRALMENTE,HIDRAULICA,1946-01-01 00:00:00,INACTIVO,ELECTRIFICADORA DE SANTANDER S.A. E.S.P.,AGUA,VACÍO
